"url","status_code","canonical","robots","indexable","in_sitemap","in_rss","title","description","h1","schema_types","internal_link_count","click_depth","page_type","primary_intent","naver_priority","decision","reason","verification_status"
"https://reumlab.com/404.html","404","https://reumlab.com/404.html","noindex","no","no","no","페이지를 찾을 수 없습니다 (404) | 름랩 REUMLAB","요청하신 주소가 바뀌었거나 삭제된 페이지입니다. 름랩의 앱 MVP·Flutter 앱개발·웹사이트 제작·AI 개발 페이지에서 필요한 서비스를 찾아보세요.","페이지를 찾을 수 없습니다","ContactPoint|Country|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|WebSite","25","","404","404","P3","404","custom not-found document","TESTED_LOCAL_BUILD"
"https://reumlab.com/academy-shopping-mall/","200","https://reumlab.com/academy-shopping-mall/","index, follow","yes","yes","no","학원 쇼핑몰 제작 | 수강신청·결제·관리자 맞춤 구축 — 름랩","학원 수강권·교재·특강을 온라인으로 파는 학원 전용 쇼핑몰을 제작합니다. 회원가입·수강신청·결제·환불·관리자페이지·수강생 관리까지 맞춤 구축하고, 소스코드 전체 이관 + 직접 운영 교육. 동탄·수원 거점, 전국 진행.","학원 운영에 맞춘 수강신청·결제 쇼핑몰 제작","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","29","1","service_or_hub","service_or_hub","P1","INDEX","self-canonical, indexable and present in sitemap","TESTED_LOCAL_BUILD"
"https://reumlab.com/admin-page-development/","200","https://reumlab.com/admin-page-development/","index, follow","yes","yes","no","관리자 페이지 개발 외주 | 어드민·백오피스 맞춤 구축 — 름랩","엑셀·수기로 하던 주문·회원·재고·정산 관리를 관리자(어드민) 페이지로 자동화합니다. 카페24·노코드로는 막히는 맞춤 백오피스를 정액으로 구축하고 소스코드 전체 이관 + 직접 운영 교육. 동탄·수원 거점, 전국 어디서나 진행.","관리자 페이지 개발 — 엑셀·수기 관리를 어드민 한 화면으로","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","35","1","service_or_hub","service_or_hub","P1","INDEX","self-canonical, indexable and present in sitemap","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-automation/","200","https://reumlab.com/ai-automation/","index,follow","yes","yes","no","AI 업무 자동화 개발 — 반복 업무를 AI 흐름으로 | 름랩 REUMLAB","문서 작성·검색·분류·콘텐츠·영업 업무를 회사가 실제로 쓰는 데이터와 업무 방식에 맞게 자동화합니다. 기존 서비스 AI 추가부터 AI SaaS 출시까지. 름랩.","AI 업무 자동화 개발 사람이 반복하던 일을 AI가 처리하는 흐름으로","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","26","1","service_or_hub","service_or_hub","P1","INDEX","self-canonical, indexable and present in sitemap","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/ansan/","200","https://reumlab.com/ai-development/ansan/","noindex, follow","no","no","no","안산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 안산 AI 외주개발 — 안산의 제조·유통·로컬 수요에 맞춰 주문·재고·예약 같은 실무 기능을 핵심부터 추려 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","안산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","3","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/anyang/","200","https://reumlab.com/ai-development/anyang/","noindex, follow","no","no","no","안양 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 안양 AI 외주개발 — 안양 평촌 학원가와 구도심 상권에 맞춰 수강신청·예약·결제 같은 운영 기능 중심으로 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","안양 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","4","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/asan/","200","https://reumlab.com/ai-development/asan/","noindex, follow","no","no","no","아산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 아산 AI 외주개발 — 아산의 산업단지와 온양·배방 신도시 상권 수요에 맞춰 실무 자동화·예약·주문 앱·웹을 비대면으로 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","아산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/bucheon/","200","https://reumlab.com/ai-development/bucheon/","noindex, follow","no","no","no","부천 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 부천 AI 외주개발 — 부천의 촘촘한 자영업 상권에 맞춰 예약·주문·회원 중심의 앱·웹을 빠르게 만들고 소스코드를 이관합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","부천 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","4","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/bundang/","200","https://reumlab.com/ai-development/bundang/","noindex, follow","no","no","no","분당 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 분당 AI 외주개발 — 분당은 IT 종사자·예비창업자 비중이 높아, 빠른 검증과 소스코드 이관을 중시하는 프로젝트에 잘 맞습니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","분당 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","4","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
"https://reumlab.com/ai-development/busan/","200","https://reumlab.com/ai-development/busan/","noindex, follow","no","no","no","부산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 부산 AI 외주개발 — 름랩은 소스코드 이관·비대면 협업 구조라 부산 사업자와도 화상 상담으로 전국 동일 조건으로 진행합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","부산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","40","","region_service","region_service","P3","NOINDEX","robots noindex in initial HTML","TESTED_LOCAL_BUILD"
