"url","intent_cluster","decision","target","status","reason"
"https://reumlab.com/404","legacy","redirect","/404.html","404","consolidate legacy signal without a chain"
"https://reumlab.com/404/","legacy","redirect","/404.html","404","consolidate legacy signal without a chain"
"https://reumlab.com/privacy.html","legacy","redirect","/privacy/","301","consolidate legacy signal without a chain"
"https://reumlab.com/terms.html","legacy","redirect","/terms/","301","consolidate legacy signal without a chain"
"https://reumlab.com/refund.html","legacy","redirect","/refund/","301","consolidate legacy signal without a chain"
"https://reumlab.com/스타트업MVP","legacy","redirect","/mvp/","301","consolidate legacy signal without a chain"
"https://reumlab.com/스타트업MVP/","legacy","redirect","/mvp/","301","consolidate legacy signal without a chain"
"https://reumlab.com/스타트업mvp","legacy","redirect","/mvp/","301","consolidate legacy signal without a chain"
"https://reumlab.com/스타트업mvp/","legacy","redirect","/mvp/","301","consolidate legacy signal without a chain"
"https://reumlab.com/앱개발","legacy","redirect","/flutter/","301","consolidate legacy signal without a chain"
"https://reumlab.com/앱개발/","legacy","redirect","/flutter/","301","consolidate legacy signal without a chain"
"https://reumlab.com/솔루션SaaS","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/솔루션SaaS/","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/AI서비스개발","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/AI서비스개발/","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/bootcamp/ai-app","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/bootcamp/ai-app/","legacy","redirect","/ai-development/","301","consolidate legacy signal without a chain"
"https://reumlab.com/consultation","legacy","redirect","/#contact","301","consolidate legacy signal without a chain"
"https://reumlab.com/consultation/","legacy","redirect","/#contact","301","consolidate legacy signal without a chain"
"https://reumlab.com/portfolio","legacy","redirect","/portfolio/","301","consolidate legacy signal without a chain"
"https://reumlab.com/portfolio/*","legacy","redirect","/portfolio/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev/","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-out","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-out/","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-cost","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-cost/","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-quote","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-app-dev-quote/","legacy","redirect","/app-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/bundang-app-dev","legacy","redirect","/app-development/bundang/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/bundang-app-dev/","legacy","redirect","/app-development/bundang/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev/","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-out","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-out/","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-cost","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-cost/","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-quote","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-app-dev-quote/","legacy","redirect","/app-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev-cost","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev-cost/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev-quote","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-web-dev-quote/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev-cost","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev-cost/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev-quote","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-homepage-dev-quote/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-website-dev","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-website-dev/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page-cost","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page-cost/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page-quote","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-landing-page-quote/","legacy","redirect","/web-development/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/gangnam-landing-page-quote","legacy","redirect","/web-development/gangnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/gangnam-landing-page-quote/","legacy","redirect","/web-development/gangnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-website-dev","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-website-dev/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev-cost","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev-cost/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev-quote","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-web-dev-quote/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev-cost","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev-cost/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev-quote","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-homepage-dev-quote/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page-cost","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page-cost/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page-quote","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/seongnam-landing-page-quote/","legacy","redirect","/web-development/seongnam/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-mvp-dev","legacy","redirect","/mvp/suwon/","301","consolidate legacy signal without a chain"
"https://reumlab.com/l/suwon-mvp-dev/","legacy","redirect","/mvp/suwon/","301","consolidate legacy signal without a chain"
