"url","final_url","page_type","primary_intent","primary_entity","source_file_or_cms_id","http_status","redirect_chain","indexability","canonical","title","description","language","h1","schema_types","primary_questions","evidence_links","inbound_internal_links","outbound_internal_links","content_overlap","last_verified_at","risk_level","recommended_action","verification_status","route_type","redirect_target","indexable","template","content_source","approximate_visible_text_length","date_published","date_modified","internal_inlinks","internal_outlinks","sitemap_included","rss_included","intent_cluster","possible_duplicate","entity_conflict","recommended_action_detail"
"https://reumlab.com/academy-shopping-mall/","https://reumlab.com/academy-shopping-mall/","service_or_hub","service_or_hub","학원 운영에 맞춘 수강신청·결제 쇼핑몰 제작 | REUMLAB","lib/seo.ts|route component","200","","indexable","https://reumlab.com/academy-shopping-mall/","학원 쇼핑몰 제작 | 수강신청·결제·관리자 맞춤 구축 — 름랩","학원 수강권·교재·특강을 온라인으로 파는 학원 전용 쇼핑몰을 제작합니다. 회원가입·수강신청·결제·환불·관리자페이지·수강생 관리까지 맞춤 구축하고, 소스코드 전체 이관 + 직접 운영 교육. 동탄·수원 거점, 전국 진행.","ko","학원 운영에 맞춘 수강신청·결제 쇼핑몰 제작","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","왜 REUMLAB 인가요?|무엇을 팔 수 있나 (상품 유형)","https://reumlab.com/portfolio/","58","29","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","service_or_hub","","yes","service_or_hub","lib/seo.ts|route component","3684","","","58","29","yes","no","service_or_hub","no","no","retain canonical"
"https://reumlab.com/admin-page-development/","https://reumlab.com/admin-page-development/","service_or_hub","service_or_hub","관리자 페이지 개발 — 엑셀·수기 관리를 어드민 한 화면으로 | REUMLAB","lib/seo.ts|route component","200","","indexable","https://reumlab.com/admin-page-development/","관리자 페이지 개발 외주 | 어드민·백오피스 맞춤 구축 — 름랩","엑셀·수기로 하던 주문·회원·재고·정산 관리를 관리자(어드민) 페이지로 자동화합니다. 카페24·노코드로는 막히는 맞춤 백오피스를 정액으로 구축하고 소스코드 전체 이관 + 직접 운영 교육. 동탄·수원 거점, 전국 어디서나 진행.","ko","관리자 페이지 개발 — 엑셀·수기 관리를 어드민 한 화면으로","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","왜 REUMLAB 인가요?|무엇을 만드나 (기능 범위)","https://reumlab.com/portfolio/|https://reumlab.com/guide/erp-cost/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/dev-process/|https://reumlab.com/portfolio/edu-erp/|https://reumlab.com/portfolio/b2b-lead/|https://reumlab.com/portfolio/ai-sales/","399","35","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","service_or_hub","","yes","service_or_hub","lib/seo.ts|route component","3762","","","399","35","yes","no","service_or_hub","no","no","retain canonical"
"https://reumlab.com/ai-automation/","https://reumlab.com/ai-automation/","service_or_hub","service_or_hub","AI 업무 자동화 개발 사람이 반복하던 일을 AI가 처리하는 흐름으로 | REUMLAB","lib/seo.ts|route component","200","","indexable","https://reumlab.com/ai-automation/","AI 업무 자동화 개발 — 반복 업무를 AI 흐름으로 | 름랩 REUMLAB","문서 작성·검색·분류·콘텐츠·영업 업무를 회사가 실제로 쓰는 데이터와 업무 방식에 맞게 자동화합니다. 기존 서비스 AI 추가부터 AI SaaS 출시까지. 름랩.","ko","AI 업무 자동화 개발 사람이 반복하던 일을 AI가 처리하는 흐름으로","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","맡기면 어떻게 진행되는지","https://reumlab.com/portfolio/ai-work-hub/|https://reumlab.com/portfolio/ai-sales/|https://reumlab.com/portfolio/sns-content/|https://reumlab.com/portfolio/gov-search/|https://reumlab.com/portfolio/research-writer/|https://reumlab.com/portfolio/|https://reumlab.com/guide/ai-automation-guide/|https://reumlab.com/guide/chatbot-cost/|https://reumlab.com/guide/enterprise-ai-adoption/|https://reumlab.com/guide/dev-process/","1339","26","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","service_or_hub","","yes","service_or_hub","lib/seo.ts|route component","6520","","","1339","26","yes","no","service_or_hub","no","no","retain canonical"
"https://reumlab.com/ai-development/ansan/","https://reumlab.com/ai-development/ansan/","region_service","region_service","안산 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/ansan/","안산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 안산 AI 외주개발 — 안산의 제조·유통·로컬 수요에 맞춰 주문·재고·예약 같은 실무 기능을 핵심부터 추려 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","안산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|안산 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","5","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2558","","","5","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/anyang/","https://reumlab.com/ai-development/anyang/","region_service","region_service","안양 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/anyang/","안양 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 안양 AI 외주개발 — 안양 평촌 학원가와 구도심 상권에 맞춰 수강신청·예약·결제 같은 운영 기능 중심으로 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","안양 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|안양 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","20","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2550","","","20","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/asan/","https://reumlab.com/ai-development/asan/","region_service","region_service","아산 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/asan/","아산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 아산 AI 외주개발 — 아산의 산업단지와 온양·배방 신도시 상권 수요에 맞춰 실무 자동화·예약·주문 앱·웹을 비대면으로 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","아산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|아산 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","10","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2516","","","10","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/bucheon/","https://reumlab.com/ai-development/bucheon/","region_service","region_service","부천 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/bucheon/","부천 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 부천 AI 외주개발 — 부천의 촘촘한 자영업 상권에 맞춰 예약·주문·회원 중심의 앱·웹을 빠르게 만들고 소스코드를 이관합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","부천 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|부천 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","8","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2495","","","8","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/bundang/","https://reumlab.com/ai-development/bundang/","region_service","region_service","분당 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/bundang/","분당 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 분당 AI 외주개발 — 분당은 IT 종사자·예비창업자 비중이 높아, 빠른 검증과 소스코드 이관을 중시하는 프로젝트에 잘 맞습니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","분당 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|분당 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","31","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2560","","","31","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/busan/","https://reumlab.com/ai-development/busan/","region_service","region_service","부산 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/busan/","부산 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 부산 AI 외주개발 — 름랩은 소스코드 이관·비대면 협업 구조라 부산 사업자와도 화상 상담으로 전국 동일 조건으로 진행합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","부산 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|부산 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","12","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2599","","","12","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
"https://reumlab.com/ai-development/changwon/","https://reumlab.com/ai-development/changwon/","region_service","region_service","창원 AI 외주개발 | REUMLAB","lib/pseo.ts|lib/region-service.ts","200","","noindex","https://reumlab.com/ai-development/changwon/","창원 AI 외주개발 | 챗봇·업무 자동화 실전형 — 름랩","반복되는 응대와 업무를 줄이고 싶으신가요. 창원 AI 외주개발 — 창원의 기계·제조 산업과 상남동 상권 수요에 맞춰 실무 자동화·예약·주문 앱·웹을 비대면으로 제작합니다. 챗봇·자동화 실전형 · 최소 기능부터 단계별.","ko","창원 AI 외주개발","Answer|BreadcrumbList|ContactPoint|Country|FAQPage|ListItem|OpeningHoursSpecification|Organization|Place|PostalAddress|ProfessionalService|PropertyValue|Question|Service|WebSite","어떤 AI 기능을 붙일 수 있나요?|방문 없이 진행할 수 있나요?|창원 에서 시작해 볼까요?","https://reumlab.com/portfolio/|https://reumlab.com/guide/app-cost/|https://reumlab.com/guide/app-duration/|https://reumlab.com/guide/dev-process/|https://reumlab.com/guide/agency-choice/|https://reumlab.com/guide/","12","40","none-detected","2026-09-12T16:24:39.132Z","low","KEEP","TESTED_LOCAL_BUILD","region_service","","no","region_service","lib/pseo.ts|lib/region-service.ts","2543","","","12","40","no","no","region_service","no","no","retain noindex; consolidate if equivalent redirect exists"
