"page","primary claim","current evidence","needed evidence","owner input required"
"https://reumlab.com/academy-shopping-mall/","학원 운영에 맞춘 수강신청·결제 쇼핑몰 제작","moderate","검증 가능한 사례·방법론·공식 출처 중 최소 1개 보강","yes"
"https://reumlab.com/admin-page-development/","관리자 페이지 개발 — 엑셀·수기 관리를 어드민 한 화면으로","moderate","검증 가능한 사례·방법론·공식 출처 중 최소 1개 보강","yes"
"https://reumlab.com/ai-automation/","AI 업무 자동화 개발 사람이 반복하던 일을 AI가 처리하는 흐름으로","moderate","검증 가능한 사례·방법론·공식 출처 중 최소 1개 보강","yes"
"https://reumlab.com/ai-development/dongtan/","동탄 AI 외주개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/ai-development/hwaseong/","화성 AI 외주개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/ai-development/","AI 외주개발","moderate","검증 가능한 사례·방법론·공식 출처 중 최소 1개 보강","yes"
"https://reumlab.com/ai-development/suwon/","수원 AI 외주개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/academy/","학원·교육 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/agriculture/","농업·산지직거래 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/animal-hospital/","동물병원 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/art-academy/","미술학원 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/b2b-saas/","B2B SaaS·업무툴 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/bakery/","베이커리·디저트 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/billiards/","당구장·볼링장 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
"https://reumlab.com/app/booking/","예약(미용·네일·공방) 앱 개발","templated-review","해당 업종·지역에 고유한 실제 제약, 허가된 사례 또는 1차 자료","yes"
